loan_id,income,age,employment_years,credit_score,loan_purpose,loan_term,loan_amount,loan_status
LN00001,59934.283060224654,23,3,606.0905253488248,home,36 months,23595.677382881542,current
LN00002,47234.713976576306,51,35,675.023587737947,business,60 months,21422.27116659195,in grace period
LN00003,62953.77076201385,21,24,534.3192301732163,business,36 months,33045.479848139,default
LN00004,80460.5971281605,32,2,586.5349704737714,education,60 months,27178.473826387446,current
LN00005,45316.93250553328,59,8,729.1532679882209,home,60 months,12103.843434125909,default
LN00006,45317.26086101639,24,21,652.3913317737473,home,36 months,31733.91061316704,default
LN00007,81584.25631014783,62,22,633.7601099540815,home,60 months,29722.615174798884,current
LN00008,65348.694583058175,33,11,672.6983747269437,car,36 months,8820.783364230922,current
LN00009,40610.51228130096,54,9,686.0038052496224,business,36 months,29027.810686011537,current
LN00010,60851.200871719295,62,33,738.1149026009965,home,60 months,15327.504279007764,default
LN00011,40731.64614375075,41,9,561.3911332112054,business,60 months,29971.482389434746,current
LN00012,40685.404928594864,42,29,567.4766828673822,education,60 months,16620.53232931043,current
LN00013,54839.24543132068,24,21,695.9532256814714,education,36 months,14666.67277284541,current
LN00014,11734.395106844044,38,5,655.093224244491,car,60 months,15697.258783105295,in grace period
LN00015,15501.643349739345,25,1,519.953763968471,car,36 months,10278.31793850963,current
LN00016,38754.249415180544,39,29,568.1724514736046,education,36 months,5196.437219971051,current
LN00017,29743.377593311525,22,1,614.7110158756495,home,60 months,5000.0,current
LN00018,56284.94665190548,32,31,656.465233104681,education,60 months,9453.27000000741,current
LN00019,31839.51848957578,37,15,634.0045592435328,business,60 months,46306.232802206505,current
LN00020,21753.925973294172,30,11,525.1312088481633,car,60 months,,current
LN00021,79312.97537843109,54,0,680.7708686563151,car,36 months,38642.22608792408,default
LN00022,45484.47399026929,26,7,593.7984746919782,education,60 months,16817.994089136064,current
LN00023,51350.564093758476,28,12,568.2382795750752,home,36 months,15316.784825235347,current
LN00024,,31,14,619.2652622295749,home,60 months,37165.40657520856,current
LN00025,39112.34550949634,32,7,629.7327407739984,business,60 months,23757.624283508303,default
LN00026,52218.451794197324,29,9,706.8669278147555,car,60 months,10447.245013071884,90+dpd
LN00027,26980.128451553945,22,4,565.2422920857518,education,36 months,26329.17484498705,current
LN00028,57513.96036691344,28,18,672.505840298054,education,60 months,32508.846186131494,current
LN00029,37987.2262016239,31,37,526.7099123542624,car,36 months,5721.275668414017,default
LN00030,44166.12500413446,56,10,623.4561769418978,education,60 months,24646.583318106866,current
LN00031,37965.867755412066,30,19,668.9532655477478,car,60 months,6382.752234243637,current
LN00032,87045.56369017877,41,19,723.9369989311579,home,36 months,31967.553243089522,90+dpd
LN00033,49730.05550524132,40,20,687.0983705656862,home,36 months,22306.98431921536,current
LN00034,28845.781420881995,28,17,683.682036571045,education,60 months,26296.611588762084,current
LN00035,66450.89824206378,56,9,633.7755592150314,home,60 months,17825.560646200232,current
LN00036,25583.127000579556,49,33,658.813857032827,None,36 months,5000.0,current
LN00037,54177.27190009511,62,25,783.5193546206485,business,60 months,15585.678397716478,90+dpd
LN00038,10806.597522404489,32,29,576.6372613926362,car,36 months,29298.39523972443,in grace period
LN00039,23436.27902203139,34,8,718.5800894775334,car,60 months,39936.28782518518,current
LN00040,53937.22471738247,41,30,713.8202809479415,education,36 months,22822.900898886768,default
LN00041,64769.33159990821,42,3,644.6566406785488,car,36 months,13136.47422187814,current
LN00042,53427.36562379941,41,5,639.1560298840066,business,36 months,25357.02778267432,in grace period
LN00043,47687.03435223519,64,13,654.5051488715803,education,36 months,28398.947342858377,current
LN00044,43977.926088214226,50,3,699.9194250130661,education,36 months,21327.537380750677,current
LN00045,20429.560192651454,59,25,647.1439337426373,car,60 months,20712.14207332119,default
LN00046,35603.115832105825,40,38,600.8832333694728,home,60 months,22136.082583203235,current
LN00047,40787.22458080425,44,16,493.57346380009517,home,60 months,20435.503774319975,current
LN00048,71142.44452437831,43,18,716.7245709913356,home,60 months,22977.809631706474,in grace period
LN00049,56872.36579136923,27,5,520.1274743809506,home,60 months,38275.632520739055,default
LN00050,14739.19689274532,29,28,517.6505667488785,None,60 months,,current
LN00051,56481.6793878959,21,10,626.8382251014183,education,60 months,17615.443055811167,current
LN00052,42298.35439167367,46,15,555.8428017574807,home,60 months,10676.458731756777,current
LN00053,36461.55999388083,58,29,657.2184992827652,business,60 months,31808.03060566231,current
LN00054,62233.52577681736,58,24,640.0303011462488,education,36 months,18591.178303456203,90+dpd
LN00055,70619.99044991902,64,39,724.1161084221308,car,36 months,25597.047755339798,default
LN00056,68625.60238232397,42,10,554.6153243995167,car,60 months,34273.06777825868,current
LN00057,33215.64953554723,64,6,585.4127587451113,business,36 months,,current
LN00058,43815.75248297571,30,25,642.6396582386617,education,60 months,14724.823621168522,90+dpd
LN00059,56625.26862807128,26,21,658.1461871061281,home,36 months,33240.82369878596,current
LN00060,69510.90254244718,37,24,716.6234002684575,education,36 months,8789.37218659562,current
LN00061,40416.5152430942,58,18,574.925263958186,home,36 months,15062.196495176333,default
LN00062,,44,30,612.0560498591536,business,60 months,5000.0,90+dpd
LN00063,27873.300519879434,30,25,661.9177261241451,home,60 months,33633.63350073559,current
LN00064,26075.867518386585,28,35,470.70656510603567,business,60 months,14187.534364192265,current
LN00065,66250.51644788396,41,22,691.7259334229843,education,60 months,23511.60467047116,in grace period
LN00066,77124.80057141646,26,12,729.1311530127009,education,36 months,26759.8032424396,90+dpd
LN00067,48559.797568393325,41,24,553.7334963235564,home,60 months,11967.631295839044,current
LN00068,70070.65795784048,59,1,646.5490009205294,None,36 months,5000.0,default
LN00069,57232.72050095268,44,1,760.2488569990928,home,60 months,17805.35902655236,in grace period
LN00070,37097.60490789751,53,15,681.8155350917177,education,36 months,17641.72236754271,current
LN00071,57227.912110168276,38,8,687.0459205607688,car,36 months,19394.965214026226,in grace period
LN00072,80760.73132931939,48,27,748.6578327306732,home,36 months,19450.170077056344,current
LN00073,49283.47921780097,52,12,774.131586793316,business,36 months,15012.271576668212,90+dpd
LN00074,81292.87311628013,32,34,681.120207346206,car,60 months,14624.626981526806,current
LN00075,-2394.902081794884,62,12,567.6318169653033,business,60 months,22977.03528814786,90+dpd
LN00076,66438.05008750448,47,30,734.1656881983196,education,36 months,11761.426099703236,current
LN00077,51740.94136476342,30,20,637.1491711909376,car,60 months,19046.765519096818,current
LN00078,44019.85299068265,62,31,577.5884962719965,education,60 months,14370.41268590527,current
LN00079,51835.21553071005,52,33,612.560527164243,home,36 months,22956.052436432474,current
LN00080,10248.621707982144,62,7,630.6416417947087,business,60 months,31085.762803182715,current
LN00081,45606.56224324976,46,1,612.6648054171279,None,60 months,31493.777731190203,current
LN00082,,45,37,629.4239334529209,business,60 months,32892.908725376736,90+dpd
LN00083,79557.88089483032,31,31,606.1757232123059,business,36 months,16659.072246578813,current
LN00084,39634.59563452705,43,39,738.6402011113637,education,60 months,17499.5300816884,current
LN00085,33830.12794213625,54,27,608.3762069066531,home,36 months,7310.476865418157,current
LN00086,39964.85912830927,60,36,588.6890405278823,business,36 months,16574.50972167741,current
LN00087,68308.04235404148,43,0,624.4793952342884,education,36 months,16931.621760521357,current
LN00088,56575.02219319369,49,9,711.2817897831836,home,60 months,13828.52364380554,current
LN00089,39404.79592465922,51,3,678.0586457625204,education,60 months,13782.068565772655,in grace period
LN00090,60265.34866226712,27,34,623.6654687149058,home,60 months,5000.0,current
LN00091,51941.55098696081,60,9,652.73341298788,business,36 months,6580.874042776026,90+dpd
LN00092,69372.89981065778,53,10,687.2721588229716,car,60 months,20445.435875787465,in grace period
LN00093,35958.93812245295,41,13,585.2032389897005,education,36 months,20820.7330627973,90+dpd
LN00094,43446.75706804464,22,37,534.133111293385,business,60 months,24830.558694958007,in grace period
LN00095,42157.83693735685,38,11,676.7404056401838,education,36 months,17411.055297823466,current
LN00096,20729.701037357627,53,16,573.8482589001183,education,60 months,20116.542378324968,current
LN00097,55922.40554129152,57,15,685.2767394108057,home,60 months,32505.095490647982,in grace period
LN00098,55221.105443597786,54,34,676.2229197435657,education,60 months,19470.99176203503,default
LN00099,50102.269132849215,40,1,652.5376795633748,home,36 months,13679.30852859228,current
LN00100,,55,10,614.0093062598601,business,36 months,8090.520959422174,default
LN00101,21692.585158991715,38,2,575.8475589255243,education,60 months,27974.7986361843,in grace period
LN00102,41587.09354469282,44,28,560.427824534797,business,36 months,5000.0,in grace period
LN00103,43145.70966946461,28,17,598.6433022048683,car,36 months,11615.813803118988,default
LN00104,33954.45461556762,50,19,672.3014547667207,business,36 months,24185.793329364766,in grace period
LN00105,46774.285766679815,64,13,743.1520370579992,education,60 months,5000.0,current
LN00106,58081.01713629077,30,33,744.187920435893,car,60 months,13856.452121192895,current
LN00107,87723.7180242106,43,30,696.433278499092,home,60 months,21291.675062957325,in grace period
LN00108,53491.55625663678,31,39,749.8320898469913,car,36 months,16166.623457994125,default
LN00109,55151.00781445529,22,17,632.2037232068406,education,60 months,10173.110724717579,current
LN00110,48511.081684676654,46,29,556.6677632512616,education,36 months,14065.556751194219,default
LN00111,11624.575694019171,56,24,744.6157343813783,business,36 months,28169.843266540283,current
LN00112,49469.722491015666,53,18,685.2962518856294,home,60 months,38313.77390779243,in grace period
LN00113,51204.604198820525,33,7,542.310401003666,education,60 months,21394.88681593598,in grace period
LN00114,99264.84224970572,60,27,806.9281920969609,education,60 months,5000.0,in grace period
LN00115,46152.78070437755,45,7,592.6431560894026,home,36 months,,in grace period
LN00116,56030.94684667225,24,30,617.7491381485528,home,36 months,16036.164854443345,current
LN00117,49305.764605895136,62,2,719.3325336843594,business,60 months,9045.77147761547,in grace period
LN00118,26626.43924760936,39,2,720.4758865462179,car,36 months,11997.269485748357,90+dpd
LN00119,72856.45629030041,38,21,601.3346736420518,home,60 months,12422.101521781184,current
LN00120,65038.66065373548,57,16,766.5379633382498,education,60 months,5891.523972221536,90+dpd
LN00121,65820.63894086094,50,35,725.5471640321616,home,60 months,19369.31222893633,in grace period
LN00122,31812.25090410522,39,16,574.3597834110402,education,60 months,38281.46799309826,in grace period
